xc,yc,zc,dip,dipdir,size,set
-0.9306,-2.5004,3.3566,73.74,111.09,1.5323,1
0.0633,-2.8699,2.6505,71.11,124.61,2.9434,1
-0.5839,-4.8447,-1.1547,75.59,119.27,0.6096,1
-0.6411,-2.8237,3.3259,67.97,115.75,0.6172,1
-0.2258,-3.2241,1.7400,69.37,126.67,0.5395,1
0.3145,1.1528,0.8382,69.53,147.55,0.7171,1
-0.6433,4.8455,1.5739,70.27,114.93,1.7200,1
0.0924,2.2283,-3.8439,74.79,104.83,0.7097,1
0.7498,3.2880,0.8275,71.39,99.43,0.5170,1
-0.1888,-3.7180,-2.6060,68.67,118.27,0.9490,1
0.9187,-0.4563,3.1521,67.16,122.11,1.0070,1
0.4892,3.9919,-3.4561,68.69,126.22,1.1015,1
-0.3168,-3.3649,-2.5992,70.12,112.98,1.0785,1
0.4440,-3.1123,0.8560,75.25,132.95,1.8301,1
-0.3887,-2.7454,3.4795,72.21,106.75,2.4068,1
0.1220,3.4996,2.0372,72.18,130.08,0.9903,1
0.9812,1.0087,-1.6699,73.14,119.18,0.5175,1
0.3352,3.2867,-2.1851,72.28,126.37,0.6621,1
0.1129,0.7255,3.3874,66.80,124.01,1.0411,1
0.5683,4.7838,2.4378,70.07,137.95,0.5039,1
0.9971,-0.4428,-3.1834,66.88,136.81,1.5089,1
0.9617,0.0071,-2.8121,71.35,133.84,1.2084,1
0.3877,-2.0940,-0.0011,67.92,121.53,2.3445,1
-0.9950,0.4139,1.1187,67.02,130.24,0.7268,1
-0.8532,-3.8421,-1.5978,69.98,115.87,1.3034,1
0.2414,-0.7552,3.6309,68.72,112.85,2.9079,1
0.7576,0.4887,1.7709,68.41,138.96,1.5227,1
0.1792,3.6172,1.6710,71.88,131.82,1.5042,1
-0.6058,3.3441,-3.5136,68.62,123.66,0.8219,1
0.1933,-3.2758,0.8862,69.19,138.29,1.9820,1
0.6263,0.1032,-1.3469,66.11,133.42,1.5954,1
0.5450,-3.1536,2.8151,74.28,124.86,0.7428,1
0.9276,-4.1734,-1.6042,69.07,121.14,1.1345,1
0.6451,-1.0796,-2.3094,71.39,116.54,2.1659,1
0.7659,-1.2691,-2.9690,71.43,132.96,1.1794,1
-0.0731,-3.7461,2.3274,71.15,143.01,1.2219,1
0.1668,-2.0936,-2.1289,68.91,133.38,2.7576,1
-0.6836,0.9771,-2.1037,70.66,115.00,0.6043,1
-0.0510,-2.1820,-3.6934,64.42,121.15,0.5088,1
0.7692,-1.0871,1.0010,66.65,128.15,1.2500,1
0.2183,-2.6882,-1.9535,71.91,132.19,0.8494,1
-0.2027,-3.0130,-2.4145,68.54,128.45,0.7551,1
0.6124,-0.4779,3.4289,67.38,128.81,2.0914,1
-0.8600,-2.3929,-1.2122,65.45,136.88,0.6282,1
0.2065,-1.3645,-2.3895,69.81,127.73,2.4870,1
0.9540,0.6504,-1.3427,71.73,111.00,0.6339,1
0.9761,3.6131,-2.6552,72.21,121.52,1.0270,1
0.7395,-2.9711,-0.1314,67.23,122.42,0.7095,1
-0.2793,-4.3991,1.4995,72.52,121.62,0.6631,1
0.4460,-4.6923,1.7290,72.22,111.72,0.6906,1
0.8229,-4.1544,2.1311,72.84,137.41,0.7811,1
-0.9164,1.6369,-1.2015,67.26,128.02,0.8206,1
0.3850,-1.0949,1.9814,66.48,127.15,0.5244,1
-0.5650,3.2347,-3.6876,66.33,120.73,1.3029,1
-0.1023,-0.5158,-0.6391,66.11,134.74,0.6918,1
-0.5784,-1.6198,2.0503,69.85,116.39,2.5328,1
-0.0480,2.0141,-1.8839,70.98,111.54,0.6185,1
0.9421,-3.6747,-3.6731,71.18,104.46,1.5270,1
-0.2684,2.9499,2.3253,69.19,115.43,1.0622,1
-0.4366,-3.2743,-1.2071,71.07,105.59,0.9425,1
